sample_id,sample_type,result,detection_limit,qualifier
A264,CRM,,0.02,<
A265,BLK,,0.005,<
A266,DUP,1.5,,
A267,CRM,,0.02,<
A268,BLK,,0.005,<
A269,DUP,1.5,,
A270,CRM,,0.02,<
A271,BLK,,0.005,<
A272,DUP,1.5,,
A273,CRM,,0.02,<
A274,BLK,,0.005,<
A275,DUP,1.5,,
A276,CRM,,0.02,<
A277,BLK,,0.005,<
A278,DUP,1.5,,
A279,CRM,,0.02,<
A280,BLK,,0.005,<
A281,DUP,1.5,,
A282,CRM,,0.02,<
A283,BLK,,0.005,<
A284,DUP,1.5,,
A285,CRM,,0.02,<
A286,BLK,,0.005,<
A287,DUP,1.5,,
A288,CRM,,0.02,<
A289,BLK,,0.005,<
A290,DUP,1.5,,
A291,CRM,,0.02,<
A292,BLK,,0.005,<
A293,DUP,1.5,,
A294,CRM,,0.02,<
A295,BLK,,0.005,<
A296,DUP,1.5,,
A297,CRM,,0.02,<
A298,BLK,,0.005,<
A299,DUP,1.5,,
A300,CRM,,0.02,<
A301,BLK,,0.005,<
A302,DUP,1.5,,
A303,CRM,,0.02,<
A304,BLK,,0.005,<
A305,DUP,1.5,,
A306,CRM,,0.02,<
A307,BLK,,0.005,<
A308,DUP,1.5,,
A309,CRM,,0.02,<
A310,BLK,,0.005,<
A311,DUP,1.5,,
A312,CRM,,0.02,<
A313,BLK,,0.005,<
A314,DUP,1.5,,
A315,CRM,,0.02,<
A316,BLK,,0.005,<
A317,DUP,1.5,,
A318,CRM,,0.02,<
A319,BLK,,0.005,<
A320,DUP,1.5,,
A321,CRM,,0.02,<
A322,BLK,,0.005,<
A323,DUP,1.5,,
A324,CRM,,0.02,<
A325,BLK,,0.005,<
A326,DUP,1.5,,
A327,CRM,,0.02,<
A328,BLK,,0.005,<
A329,DUP,1.5,,
A330,CRM,,0.02,<
A331,BLK,,0.005,<
A332,DUP,1.5,,
A333,CRM,,0.02,<
A334,BLK,,0.005,<
A335,DUP,1.5,,
A336,CRM,,0.02,<
A337,BLK,,0.005,<
A338,DUP,1.5,,
A339,CRM,,0.02,<
A340,BLK,,0.005,<
A341,DUP,1.5,,
A342,CRM,,0.02,<
A343,BLK,,0.005,<
A344,DUP,1.5,,
A345,CRM,,0.02,<
A346,BLK,,0.005,<
A347,DUP,1.5,,
A348,CRM,,0.02,<
A349,BLK,,0.005,<
A350,DUP,1.5,,
A351,CRM,,0.02,<
A352,BLK,,0.005,<
A353,DUP,1.5,,
A354,CRM,,0.02,<
A355,BLK,,0.005,<
A356,DUP,1.5,,
A357,CRM,,0.02,<
A358,BLK,,0.005,<
A359,DUP,1.5,,
A360,CRM,,0.02,<
A361,BLK,,0.005,<
A362,DUP,1.5,,
A363,CRM,,0.02,<
A364,BLK,,0.005,<
A365,DUP,1.5,,
A366,CRM,,0.02,<
A367,BLK,,0.005,<
A368,DUP,1.5,,
A369,CRM,,0.02,<
A370,BLK,,0.005,<
A371,DUP,1.5,,
A372,CRM,,0.02,<
A373,BLK,,0.005,<
A374,DUP,1.5,,
A375,CRM,,0.02,<
A376,BLK,,0.005,<
A377,DUP,1.5,,
A378,CRM,,0.02,<
A379,BLK,,0.005,<
A380,DUP,1.5,,
A381,CRM,,0.02,<
A382,BLK,,0.005,<
A383,DUP,1.5,,
A384,CRM,,0.02,<
A385,BLK,,0.005,<
A386,DUP,1.5,,
A387,CRM,,0.02,<
A388,BLK,,0.005,<
A389,DUP,1.5,,
A390,CRM,,0.02,<
A391,BLK,,0.005,<
A392,DUP,1.5,,
A393,CRM,,0.02,<
A394,BLK,,0.005,<
A395,DUP,1.5,,
A396,CRM,,0.02,<
A397,BLK,,0.005,<
A398,DUP,1.5,,
A399,CRM,,0.02,<
A400,BLK,,0.005,<
A401,DUP,1.5,,
A402,CRM,,0.02,<
A403,BLK,,0.005,<
A404,DUP,1.5,,
A405,CRM,,0.02,<
A406,BLK,,0.005,<
A407,DUP,1.5,,
A408,CRM,,0.02,<
A409,BLK,,0.005,<
A410,DUP,1.5,,
A411,CRM,,0.02,<
A412,BLK,,0.005,<
A413,DUP,1.5,,
A414,CRM,,0.02,<
A415,BLK,,0.005,<
A416,DUP,1.5,,
A417,CRM,,0.02,<
A418,BLK,,0.005,<
A419,DUP,1.5,,
A420,CRM,,0.02,<
A421,BLK,,0.005,<
A422,DUP,1.5,,
A423,CRM,,0.02,<
A424,BLK,,0.005,<
A425,DUP,1.5,,
A426,CRM,,0.02,<
A427,BLK,,0.005,<
A428,DUP,1.5,,
A429,CRM,,0.02,<
A430,BLK,,0.005,<
A431,DUP,1.5,,
A432,CRM,,0.02,<
A433,BLK,,0.005,<
A434,DUP,1.5,,
A435,CRM,,0.02,<
A436,BLK,,0.005,<
A437,DUP,1.5,,
A438,CRM,,0.02,<
A439,BLK,,0.005,<
A440,DUP,1.5,,
A441,CRM,,0.02,<
A442,BLK,,0.005,<
A443,DUP,1.5,,
A444,CRM,,0.02,<
A445,BLK,,0.005,<
A446,DUP,1.5,,
A447,CRM,,0.02,<
A448,BLK,,0.005,<
A449,DUP,1.5,,
A450,CRM,,0.02,<
A451,BLK,,0.005,<
A452,DUP,1.5,,
A453,CRM,,0.02,<
A454,BLK,,0.005,<
A455,DUP,1.5,,
A456,CRM,,0.02,<
A457,BLK,,0.005,<
A458,DUP,1.5,,
A459,CRM,,0.02,<
A460,BLK,,0.005,<
A461,DUP,1.5,,
A462,CRM,,0.02,<
A463,BLK,,0.005,<
A464,DUP,1.5,,
A465,CRM,,0.02,<
A466,BLK,,0.005,<
A467,DUP,1.5,,
A468,CRM,,0.02,<
A469,BLK,,0.005,<
A470,DUP,1.5,,
A471,CRM,,0.02,<
A472,BLK,,0.005,<
A473,DUP,1.5,,
A474,CRM,,0.02,<
A475,BLK,,0.005,<
A476,DUP,1.5,,
A477,CRM,,0.02,<
A478,BLK,,0.005,<
A479,DUP,1.5,,
A480,CRM,,0.02,<
A481,BLK,,0.005,<
A482,DUP,1.5,,
A483,CRM,,0.02,<
A484,BLK,,0.005,<
A485,DUP,1.5,,
A486,CRM,,0.02,<
A487,BLK,,0.005,<
A488,DUP,1.5,,
A489,CRM,,0.02,<
A490,BLK,,0.005,<
A491,DUP,1.5,,
A492,CRM,,0.02,<
A493,BLK,,0.005,<
A494,DUP,1.5,,
A495,CRM,,0.02,<
A496,BLK,,0.005,<
A497,DUP,1.5,,
A498,CRM,,0.02,<
A499,BLK,,0.005,<
A500,DUP,1.5,,
A501,CRM,,0.02,<
A502,BLK,,0.005,<
A503,DUP,1.5,,
A504,CRM,,0.02,<
A505,BLK,,0.005,<
A506,DUP,1.5,,
A507,CRM,,0.02,<
A508,BLK,,0.005,<
A509,DUP,1.5,,
A510,CRM,,0.02,<
A511,BLK,,0.005,<
A512,DUP,1.5,,
A513,CRM,,0.02,<
A514,BLK,,0.005,<
A515,DUP,1.5,,
A516,CRM,,0.02,<
A517,BLK,,0.005,<
A518,DUP,1.5,,
A519,CRM,,0.02,<
A520,BLK,,0.005,<
A521,DUP,1.5,,
A522,CRM,,0.02,<
A523,BLK,,0.005,<
A524,DUP,1.5,,
A525,CRM,,0.02,<
A526,BLK,,0.005,<
A527,DUP,1.5,,
A528,CRM,,0.02,<
A529,BLK,,0.005,<
A530,DUP,1.5,,
A531,CRM,,0.02,<
A532,BLK,,0.005,<
A533,DUP,1.5,,
A534,CRM,,0.02,<
A535,BLK,,0.005,<
A536,DUP,1.5,,
A537,CRM,,0.02,<
A538,BLK,,0.005,<
A539,DUP,1.5,,
A540,CRM,,0.02,<
A541,BLK,,0.005,<
A542,DUP,1.5,,
A543,CRM,,0.02,<
A544,BLK,,0.005,<
A545,DUP,1.5,,
A546,CRM,,0.02,<
A547,BLK,,0.005,<
A548,DUP,1.5,,
A549,CRM,,0.02,<
A550,BLK,,0.005,<
A551,DUP,1.5,,
A552,CRM,,0.02,<
A553,BLK,,0.005,<
A554,DUP,1.5,,
A555,CRM,,0.02,<
A556,BLK,,0.005,<
A557,DUP,1.5,,
A558,CRM,,0.02,<
A559,BLK,,0.005,<
A560,DUP,1.5,,
A561,CRM,,0.02,<
A562,BLK,,0.005,<
A563,DUP,1.5,,
A564,CRM,,0.02,<
A565,BLK,,0.005,<
A566,DUP,1.5,,
A567,CRM,,0.02,<
A568,BLK,,0.005,<
A569,DUP,1.5,,
A570,CRM,,0.02,<
A571,BLK,,0.005,<
A572,DUP,1.5,,
A573,CRM,,0.02,<
A574,BLK,,0.005,<
A575,DUP,1.5,,
A576,CRM,,0.02,<
A577,BLK,,0.005,<
A578,DUP,1.5,,
A579,CRM,,0.02,<
A580,BLK,,0.005,<
A581,DUP,1.5,,
A582,CRM,,0.02,<
A583,BLK,,0.005,<
A584,DUP,1.5,,
A585,CRM,,0.02,<
A586,BLK,,0.005,<
A587,DUP,1.5,,
A588,CRM,,0.02,<
A589,BLK,,0.005,<
A590,DUP,1.5,,
A591,CRM,,0.02,<
A592,BLK,,0.005,<
A593,DUP,1.5,,
A594,CRM,,0.02,<
A595,BLK,,0.005,<
A596,DUP,1.5,,
A597,CRM,,0.02,<
A598,BLK,,0.005,<
A599,DUP,1.5,,
A600,CRM,,0.02,<
A601,BLK,,0.005,<
A602,DUP,1.5,,
A603,CRM,,0.02,<
A604,BLK,,0.005,<
A605,DUP,1.5,,
A606,CRM,,0.02,<
A607,BLK,,0.005,<
A608,DUP,1.5,,
A609,CRM,,0.02,<
A610,BLK,,0.005,<
A611,DUP,1.5,,
A612,CRM,,0.02,<
A613,BLK,,0.005,<
A614,DUP,1.5,,
A615,CRM,,0.02,<
A616,BLK,,0.005,<
A617,DUP,1.5,,
A618,CRM,,0.02,<
A619,BLK,,0.005,<
A620,DUP,1.5,,
A621,CRM,,0.02,<
A622,BLK,,0.005,<
A623,DUP,1.5,,
A624,CRM,,0.02,<
A625,BLK,,0.005,<
A626,DUP,1.5,,
A627,CRM,,0.02,<
A628,BLK,,0.005,<
A629,DUP,1.5,,
A630,CRM,,0.02,<
A631,BLK,,0.005,<
A632,DUP,1.5,,
A633,CRM,,0.02,<
A634,BLK,,0.005,<
A635,DUP,1.5,,
A636,CRM,,0.02,<
A637,BLK,,0.005,<
A638,DUP,1.5,,
A639,CRM,,0.02,<
A640,BLK,,0.005,<
A641,DUP,1.5,,
A642,CRM,,0.02,<
A643,BLK,,0.005,<
A644,DUP,1.5,,
A645,CRM,,0.02,<
A646,BLK,,0.005,<
A647,DUP,1.5,,
A648,CRM,,0.02,<
A649,BLK,,0.005,<
A650,DUP,1.5,,
A651,CRM,,0.02,<
A652,BLK,,0.005,<
A653,DUP,1.5,,
A654,CRM,,0.02,<
A655,BLK,,0.005,<
A656,DUP,1.5,,
A657,CRM,,0.02,<
A658,BLK,,0.005,<
A659,DUP,1.5,,
A660,CRM,,0.02,<
A661,BLK,,0.005,<
A662,DUP,1.5,,
A663,CRM,,0.02,<
A664,BLK,,0.005,<
A665,DUP,1.5,,
A666,CRM,,0.02,<
A667,BLK,,0.005,<
A668,DUP,1.5,,
A669,CRM,,0.02,<
A670,BLK,,0.005,<
A671,DUP,1.5,,
A672,CRM,,0.02,<
A673,BLK,,0.005,<
A674,DUP,1.5,,
A675,CRM,,0.02,<
A676,BLK,,0.005,<
A677,DUP,1.5,,
A678,CRM,,0.02,<
A679,BLK,,0.005,<
A680,DUP,1.5,,
A681,CRM,,0.02,<
A682,BLK,,0.005,<
A683,DUP,1.5,,
A684,CRM,,0.02,<
A685,BLK,,0.005,<
A686,DUP,1.5,,
A687,CRM,,0.02,<
A688,BLK,,0.005,<
A689,DUP,1.5,,
A690,CRM,,0.02,<
A691,BLK,,0.005,<
A692,DUP,1.5,,
A693,CRM,,0.02,<
A694,BLK,,0.005,<
A695,DUP,1.5,,
A696,CRM,,0.02,<
A697,BLK,,0.005,<
A698,DUP,1.5,,
A699,CRM,,0.02,<
A700,BLK,,0.005,<
A701,DUP,1.5,,
A702,CRM,,0.02,<
A703,BLK,,0.005,<
A704,DUP,1.5,,
A705,CRM,,0.02,<
A706,BLK,,0.005,<
A707,DUP,1.5,,
A708,CRM,,0.02,<
A709,BLK,,0.005,<
A710,DUP,1.5,,
A711,CRM,,0.02,<
A712,BLK,,0.005,<
A713,DUP,1.5,,
A714,CRM,,0.02,<
A715,BLK,,0.005,<
A716,DUP,1.5,,
A717,CRM,,0.02,<
A718,BLK,,0.005,<
A719,DUP,1.5,,
A720,CRM,,0.02,<
A721,BLK,,0.005,<
A722,DUP,1.5,,
A723,CRM,,0.02,<
A724,BLK,,0.005,<
A725,DUP,1.5,,
A726,CRM,,0.02,<
A727,BLK,,0.005,<
A728,DUP,1.5,,
A729,CRM,,0.02,<
A730,BLK,,0.005,<
A731,DUP,1.5,,
A732,CRM,,0.02,<
A733,BLK,,0.005,<
A734,DUP,1.5,,
A735,CRM,,0.02,<
A736,BLK,,0.005,<
A737,DUP,1.5,,
A738,CRM,,0.02,<
A739,BLK,,0.005,<
A740,DUP,1.5,,
A741,CRM,,0.02,<
A742,BLK,,0.005,<
A743,DUP,1.5,,
A744,CRM,,0.02,<
A745,BLK,,0.005,<
A746,DUP,1.5,,
A747,CRM,,0.02,<
A748,BLK,,0.005,<
A749,DUP,1.5,,
A750,CRM,,0.02,<
A751,BLK,,0.005,<
A752,DUP,1.5,,
A753,CRM,,0.02,<
A754,BLK,,0.005,<
A755,DUP,1.5,,
A756,CRM,,0.02,<
A757,BLK,,0.005,<
A758,DUP,1.5,,
A759,CRM,,0.02,<
A760,BLK,,0.005,<
A761,DUP,1.5,,
A762,CRM,,0.02,<
A763,BLK,,0.005,<
A764,DUP,1.5,,
A765,CRM,,0.02,<
A766,BLK,,0.005,<
A767,DUP,1.5,,
A768,CRM,,0.02,<
A769,BLK,,0.005,<
A770,DUP,1.5,,
A771,CRM,,0.02,<
A772,BLK,,0.005,<
A773,DUP,1.5,,
A774,CRM,,0.02,<
A775,BLK,,0.005,<
A776,DUP,1.5,,
A777,CRM,,0.02,<
A778,BLK,,0.005,<
A779,DUP,1.5,,
A780,CRM,,0.02,<
A781,BLK,,0.005,<
A782,DUP,1.5,,
A783,CRM,,0.02,<
A784,BLK,,0.005,<
A785,DUP,1.5,,
A786,CRM,,0.02,<
A787,BLK,,0.005,<
A788,DUP,1.5,,
A789,CRM,,0.02,<
A790,BLK,,0.005,<
A791,DUP,1.5,,
A792,CRM,,0.02,<
A793,BLK,,0.005,<
A794,DUP,1.5,,
A795,CRM,,0.02,<
A796,BLK,,0.005,<
A797,DUP,1.5,,
A798,CRM,,0.02,<
A799,BLK,,0.005,<
A800,DUP,1.5,,
A801,CRM,,0.02,<
A802,BLK,,0.005,<
A803,DUP,1.5,,
A804,CRM,,0.02,<
A805,BLK,,0.005,<
A806,DUP,1.5,,
A807,CRM,,0.02,<
A808,BLK,,0.005,<
A809,DUP,1.5,,
A810,CRM,,0.02,<
A811,BLK,,0.005,<
A812,DUP,1.5,,
A813,CRM,,0.02,<
A814,BLK,,0.005,<
A815,DUP,1.5,,
A816,CRM,,0.02,<
A817,BLK,,0.005,<
A818,DUP,1.5,,
A819,CRM,,0.02,<
A820,BLK,,0.005,<
A821,DUP,1.5,,
A822,CRM,,0.02,<
A823,BLK,,0.005,<
A824,DUP,1.5,,
A825,CRM,,0.02,<
A826,BLK,,0.005,<
A827,DUP,1.5,,
A828,CRM,,0.02,<
A829,BLK,,0.005,<
A830,DUP,1.5,,
A831,CRM,,0.02,<
A832,BLK,,0.005,<
A833,DUP,1.5,,
A834,CRM,,0.02,<
A835,BLK,,0.005,<
A836,DUP,1.5,,
A837,CRM,,0.02,<
A838,BLK,,0.005,<
A839,DUP,1.5,,
A840,CRM,,0.02,<
A841,BLK,,0.005,<
A842,DUP,1.5,,
A843,CRM,,0.02,<
A844,BLK,,0.005,<
A845,DUP,1.5,,
A846,CRM,,0.02,<
A847,BLK,,0.005,<
A848,DUP,1.5,,
A849,CRM,,0.02,<
A850,BLK,,0.005,<
A851,DUP,1.5,,
A852,CRM,,0.02,<
A853,BLK,,0.005,<
A854,DUP,1.5,,
A855,CRM,,0.02,<
A856,BLK,,0.005,<
A857,DUP,1.5,,
A858,CRM,,0.02,<
A859,BLK,,0.005,<
A860,DUP,1.5,,
A861,CRM,,0.02,<
A862,BLK,,0.005,<
A863,DUP,1.5,,
A864,CRM,,0.02,<
A865,BLK,,0.005,<
A866,DUP,1.5,,
A867,CRM,,0.02,<
A868,BLK,,0.005,<
A869,DUP,1.5,,
A870,CRM,,0.02,<
A871,BLK,,0.005,<
A872,DUP,1.5,,
A873,CRM,,0.02,<
A874,BLK,,0.005,<
A875,DUP,1.5,,
A876,CRM,,0.02,<
A877,BLK,,0.005,<
A878,DUP,1.5,,
A879,CRM,,0.02,<
A880,BLK,,0.005,<
A881,DUP,1.5,,
A882,CRM,,0.02,<
A883,BLK,,0.005,<
A884,DUP,1.5,,
A885,CRM,,0.02,<
A886,BLK,,0.005,<
A887,DUP,1.5,,
A888,CRM,,0.02,<
A889,BLK,,0.005,<
A890,DUP,1.5,,
A891,CRM,,0.02,<
A892,BLK,,0.005,<
A893,DUP,1.5,,
A894,CRM,,0.02,<
A895,BLK,,0.005,<
A896,DUP,1.5,,
A897,CRM,,0.02,<
A898,BLK,,0.005,<
A899,DUP,1.5,,
A900,CRM,,0.02,<
A901,BLK,,0.005,<
A902,DUP,1.5,,
A903,CRM,,0.02,<
A904,BLK,,0.005,<
A905,DUP,1.5,,
A906,CRM,,0.02,<
A907,BLK,,0.005,<
A908,DUP,1.5,,
A909,CRM,,0.02,<
A910,BLK,,0.005,<
A911,DUP,1.5,,
A912,CRM,,0.02,<
A913,BLK,,0.005,<
A914,DUP,1.5,,
A915,CRM,,0.02,<
A916,BLK,,0.005,<
A917,DUP,1.5,,
A918,CRM,,0.02,<
A919,BLK,,0.005,<
A920,DUP,1.5,,
A921,CRM,,0.02,<
A922,BLK,,0.005,<
A923,DUP,1.5,,
A924,CRM,,0.02,<
A925,BLK,,0.005,<
A926,DUP,1.5,,
A927,CRM,,0.02,<
A928,BLK,,0.005,<
A929,DUP,1.5,,
A930,CRM,,0.02,<
A931,BLK,,0.005,<
A932,DUP,1.5,,
A933,CRM,,0.02,<
A934,BLK,,0.005,<
A935,DUP,1.5,,
A936,CRM,,0.02,<
A937,BLK,,0.005,<
A938,DUP,1.5,,
A939,CRM,,0.02,<
A940,BLK,,0.005,<
A941,DUP,1.5,,
A942,CRM,,0.02,<
A943,BLK,,0.005,<
A944,DUP,1.5,,
A945,CRM,,0.02,<
A946,BLK,,0.005,<
A947,DUP,1.5,,
A948,CRM,,0.02,<
A949,BLK,,0.005,<
A950,DUP,1.5,,
A951,CRM,,0.02,<
A952,BLK,,0.005,<
A953,DUP,1.5,,
A954,CRM,,0.02,<
A955,BLK,,0.005,<
A956,DUP,1.5,,
A957,CRM,,0.02,<
A958,BLK,,0.005,<
A959,DUP,1.5,,
A960,CRM,,0.02,<
A961,BLK,,0.005,<
A962,DUP,1.5,,
A963,CRM,,0.02,<
A964,BLK,,0.005,<
A965,DUP,1.5,,
A966,CRM,,0.02,<
A967,BLK,,0.005,<
A968,DUP,1.5,,
A969,CRM,,0.02,<
A970,BLK,,0.005,<
A971,DUP,1.5,,
A972,CRM,,0.02,<
A973,BLK,,0.005,<
A974,DUP,1.5,,
A975,CRM,,0.02,<
A976,BLK,,0.005,<
A977,DUP,1.5,,
A978,CRM,,0.02,<
A979,BLK,,0.005,<
A980,DUP,1.5,,
A981,CRM,,0.02,<
A982,BLK,,0.005,<
A983,DUP,1.5,,
A984,CRM,,0.02,<
A985,BLK,,0.005,<
A986,DUP,1.5,,
A987,CRM,,0.02,<
A988,BLK,,0.005,<
A989,DUP,1.5,,
A990,CRM,,0.02,<
A991,BLK,,0.005,<
A992,DUP,1.5,,
A993,CRM,,0.02,<
A994,BLK,,0.005,<
A995,DUP,1.5,,
A996,CRM,,0.02,<
A997,BLK,,0.005,<
A998,DUP,1.5,,
A999,CRM,,0.02,<
A1000,BLK,,0.005,<
A1001,DUP,1.5,,
A1002,CRM,,0.02,<
A1003,BLK,,0.005,<
A1004,DUP,1.5,,
A1005,CRM,,0.02,<
A1006,BLK,,0.005,<
A1007,DUP,1.5,,
A1008,CRM,,0.02,<
A1009,BLK,,0.005,<
A1010,DUP,1.5,,
A1011,CRM,,0.02,<
A1012,BLK,,0.005,<
A1013,DUP,1.5,,
A1014,CRM,,0.02,<
A1015,BLK,,0.005,<
A1016,DUP,1.5,,
A1017,CRM,,0.02,<
A1018,BLK,,0.005,<
