SampleID,TYPE,Value,DL
A178,BLK,ND,0.005
A179,DUP,1.5,
A180,CRM,<0.02,0.01
A181,BLK,ND,0.005
A182,DUP,1.5,
A183,CRM,<0.02,0.01
A184,BLK,ND,0.005
A185,DUP,1.5,
A186,CRM,<0.02,0.01
A187,BLK,ND,0.005
A188,DUP,1.5,
A189,CRM,<0.02,0.01
A190,BLK,ND,0.005
A191,DUP,1.5,
A192,CRM,<0.02,0.01
A193,BLK,ND,0.005
A194,DUP,1.5,
A195,CRM,<0.02,0.01
A196,BLK,ND,0.005
A197,DUP,1.5,
A198,CRM,<0.02,0.01
A199,BLK,ND,0.005
A200,DUP,1.5,
A201,CRM,<0.02,0.01
A202,BLK,ND,0.005
A203,DUP,1.5,
A204,CRM,<0.02,0.01
A205,BLK,ND,0.005
A206,DUP,1.5,
A207,CRM,<0.02,0.01
A208,BLK,ND,0.005
A209,DUP,1.5,
A210,CRM,<0.02,0.01
A211,BLK,ND,0.005
A212,DUP,1.5,
A213,CRM,<0.02,0.01
A214,BLK,ND,0.005
A215,DUP,1.5,
A216,CRM,<0.02,0.01
A217,BLK,ND,0.005
A218,DUP,1.5,
A219,CRM,<0.02,0.01
A220,BLK,ND,0.005
A221,DUP,1.5,
A222,CRM,<0.02,0.01
A223,BLK,ND,0.005
A224,DUP,1.5,
A225,CRM,<0.02,0.01
A226,BLK,ND,0.005
A227,DUP,1.5,
A228,CRM,<0.02,0.01
A229,BLK,ND,0.005
A230,DUP,1.5,
A231,CRM,<0.02,0.01
A232,BLK,ND,0.005
A233,DUP,1.5,
A234,CRM,<0.02,0.01
A235,BLK,ND,0.005
A236,DUP,1.5,
A237,CRM,<0.02,0.01
A238,BLK,ND,0.005
A239,DUP,1.5,
A240,CRM,<0.02,0.01
A241,BLK,ND,0.005
A242,DUP,1.5,
A243,CRM,<0.02,0.01
A244,BLK,ND,0.005
A245,DUP,1.5,
A246,CRM,<0.02,0.01
A247,BLK,ND,0.005
A248,DUP,1.5,
A249,CRM,<0.02,0.01
A250,BLK,ND,0.005
A251,DUP,1.5,
A252,CRM,<0.02,0.01
A253,BLK,ND,0.005
A254,DUP,1.5,
A255,CRM,<0.02,0.01
A256,BLK,ND,0.005
A257,DUP,1.5,
A258,CRM,<0.02,0.01
A259,BLK,ND,0.005
A260,DUP,1.5,
A261,CRM,<0.02,0.01
A262,BLK,ND,0.005
A263,DUP,1.5,
A264,CRM,<0.02,0.01
A265,BLK,ND,0.005
A266,DUP,1.5,
A267,CRM,<0.02,0.01
A268,BLK,ND,0.005
A269,DUP,1.5,
A270,CRM,<0.02,0.01
A271,BLK,ND,0.005
A272,DUP,1.5,
A273,CRM,<0.02,0.01
A274,BLK,ND,0.005
A275,DUP,1.5,
A276,CRM,<0.02,0.01
A277,BLK,ND,0.005
A278,DUP,1.5,
A279,CRM,<0.02,0.01
A280,BLK,ND,0.005
A281,DUP,1.5,
A282,CRM,<0.02,0.01
A283,BLK,ND,0.005
A284,DUP,1.5,
A285,CRM,<0.02,0.01
A286,BLK,ND,0.005
A287,DUP,1.5,
A288,CRM,<0.02,0.01
A289,BLK,ND,0.005
A290,DUP,1.5,
A291,CRM,<0.02,0.01
A292,BLK,ND,0.005
A293,DUP,1.5,
A294,CRM,<0.02,0.01
A295,BLK,ND,0.005
A296,DUP,1.5,
A297,CRM,<0.02,0.01
A298,BLK,ND,0.005
A299,DUP,1.5,
A300,CRM,<0.02,0.01
A301,BLK,ND,0.005
A302,DUP,1.5,
A303,CRM,<0.02,0.01
A304,BLK,ND,0.005
A305,DUP,1.5,
A306,CRM,<0.02,0.01
A307,BLK,ND,0.005
A308,DUP,1.5,
A309,CRM,<0.02,0.01
A310,BLK,ND,0.005
A311,DUP,1.5,
A312,CRM,<0.02,0.01
A313,BLK,ND,0.005
A314,DUP,1.5,
A315,CRM,<0.02,0.01
A316,BLK,ND,0.005
A317,DUP,1.5,
A318,CRM,<0.02,0.01
A319,BLK,ND,0.005
A320,DUP,1.5,
A321,CRM,<0.02,0.01
A322,BLK,ND,0.005
A323,DUP,1.5,
A324,CRM,<0.02,0.01
A325,BLK,ND,0.005
A326,DUP,1.5,
A327,CRM,<0.02,0.01
A328,BLK,ND,0.005
A329,DUP,1.5,
A330,CRM,<0.02,0.01
A331,BLK,ND,0.005
A332,DUP,1.5,
A333,CRM,<0.02,0.01
A334,BLK,ND,0.005
A335,DUP,1.5,
A336,CRM,<0.02,0.01
A337,BLK,ND,0.005
A338,DUP,1.5,
A339,CRM,<0.02,0.01
A340,BLK,ND,0.005
A341,DUP,1.5,
A342,CRM,<0.02,0.01
A343,BLK,ND,0.005
A344,DUP,1.5,
A345,CRM,<0.02,0.01
A346,BLK,ND,0.005
A347,DUP,1.5,
A348,CRM,<0.02,0.01
A349,BLK,ND,0.005
A350,DUP,1.5,
A351,CRM,<0.02,0.01
A352,BLK,ND,0.005
A353,DUP,1.5,
A354,CRM,<0.02,0.01
A355,BLK,ND,0.005
A356,DUP,1.5,
A357,CRM,<0.02,0.01
A358,BLK,ND,0.005
A359,DUP,1.5,
A360,CRM,<0.02,0.01
A361,BLK,ND,0.005
A362,DUP,1.5,
A363,CRM,<0.02,0.01
A364,BLK,ND,0.005
A365,DUP,1.5,
A366,CRM,<0.02,0.01
A367,BLK,ND,0.005
A368,DUP,1.5,
A369,CRM,<0.02,0.01
A370,BLK,ND,0.005
A371,DUP,1.5,
A372,CRM,<0.02,0.01
A373,BLK,ND,0.005
A374,DUP,1.5,
A375,CRM,<0.02,0.01
A376,BLK,ND,0.005
A377,DUP,1.5,
A378,CRM,<0.02,0.01
A379,BLK,ND,0.005
A380,DUP,1.5,
A381,CRM,<0.02,0.01
A382,BLK,ND,0.005
A383,DUP,1.5,
A384,CRM,<0.02,0.01
A385,BLK,ND,0.005
A386,DUP,1.5,
A387,CRM,<0.02,0.01
A388,BLK,ND,0.005
A389,DUP,1.5,
A390,CRM,<0.02,0.01
A391,BLK,ND,0.005
A392,DUP,1.5,
A393,CRM,<0.02,0.01
A394,BLK,ND,0.005
A395,DUP,1.5,
A396,CRM,<0.02,0.01
A397,BLK,ND,0.005
A398,DUP,1.5,
A399,CRM,<0.02,0.01
A400,BLK,ND,0.005
A401,DUP,1.5,
A402,CRM,<0.02,0.01
A403,BLK,ND,0.005
A404,DUP,1.5,
A405,CRM,<0.02,0.01
A406,BLK,ND,0.005
A407,DUP,1.5,
A408,CRM,<0.02,0.01
A409,BLK,ND,0.005
A410,DUP,1.5,
A411,CRM,<0.02,0.01
A412,BLK,ND,0.005
A413,DUP,1.5,
A414,CRM,<0.02,0.01
A415,BLK,ND,0.005
A416,DUP,1.5,
A417,CRM,<0.02,0.01
A418,BLK,ND,0.005
A419,DUP,1.5,
A420,CRM,<0.02,0.01
A421,BLK,ND,0.005
A422,DUP,1.5,
A423,CRM,<0.02,0.01
A424,BLK,ND,0.005
A425,DUP,1.5,
A426,CRM,<0.02,0.01
A427,BLK,ND,0.005
A428,DUP,1.5,
A429,CRM,<0.02,0.01
A430,BLK,ND,0.005
A431,DUP,1.5,
A432,CRM,<0.02,0.01
A433,BLK,ND,0.005
A434,DUP,1.5,
A435,CRM,<0.02,0.01
A436,BLK,ND,0.005
A437,DUP,1.5,
A438,CRM,<0.02,0.01
A439,BLK,ND,0.005
A440,DUP,1.5,
A441,CRM,<0.02,0.01
A442,BLK,ND,0.005
A443,DUP,1.5,
A444,CRM,<0.02,0.01
A445,BLK,ND,0.005
A446,DUP,1.5,
A447,CRM,<0.02,0.01
A448,BLK,ND,0.005
A449,DUP,1.5,
A450,CRM,<0.02,0.01
A451,BLK,ND,0.005
A452,DUP,1.5,
A453,CRM,<0.02,0.01
A454,BLK,ND,0.005
A455,DUP,1.5,
A456,CRM,<0.02,0.01
A457,BLK,ND,0.005
A458,DUP,1.5,
A459,CRM,<0.02,0.01
A460,BLK,ND,0.005
A461,DUP,1.5,
A462,CRM,<0.02,0.01
A463,BLK,ND,0.005
A464,DUP,1.5,
A465,CRM,<0.02,0.01
A466,BLK,ND,0.005
A467,DUP,1.5,
A468,CRM,<0.02,0.01
A469,BLK,ND,0.005
A470,DUP,1.5,
A471,CRM,<0.02,0.01
A472,BLK,ND,0.005
A473,DUP,1.5,
A474,CRM,<0.02,0.01
A475,BLK,ND,0.005
A476,DUP,1.5,
A477,CRM,<0.02,0.01
A478,BLK,ND,0.005
A479,DUP,1.5,
A480,CRM,<0.02,0.01
A481,BLK,ND,0.005
A482,DUP,1.5,
A483,CRM,<0.02,0.01
A484,BLK,ND,0.005
A485,DUP,1.5,
A486,CRM,<0.02,0.01
A487,BLK,ND,0.005
A488,DUP,1.5,
A489,CRM,<0.02,0.01
A490,BLK,ND,0.005
A491,DUP,1.5,
A492,CRM,<0.02,0.01
A493,BLK,ND,0.005
A494,DUP,1.5,
A495,CRM,<0.02,0.01
A496,BLK,ND,0.005
A497,DUP,1.5,
A498,CRM,<0.02,0.01
A499,BLK,ND,0.005
A500,DUP,1.5,
A501,CRM,<0.02,0.01
A502,BLK,ND,0.005
A503,DUP,1.5,
A504,CRM,<0.02,0.01
A505,BLK,ND,0.005
A506,DUP,1.5,
A507,CRM,<0.02,0.01
A508,BLK,ND,0.005
A509,DUP,1.5,
A510,CRM,<0.02,0.01
A511,BLK,ND,0.005
A512,DUP,1.5,
A513,CRM,<0.02,0.01
A514,BLK,ND,0.005
A515,DUP,1.5,
A516,CRM,<0.02,0.01
A517,BLK,ND,0.005
A518,DUP,1.5,
A519,CRM,<0.02,0.01
A520,BLK,ND,0.005
A521,DUP,1.5,
A522,CRM,<0.02,0.01
A523,BLK,ND,0.005
A524,DUP,1.5,
A525,CRM,<0.02,0.01
A526,BLK,ND,0.005
A527,DUP,1.5,
A528,CRM,<0.02,0.01
A529,BLK,ND,0.005
A530,DUP,1.5,
A531,CRM,<0.02,0.01
A532,BLK,ND,0.005
A533,DUP,1.5,
A534,CRM,<0.02,0.01
A535,BLK,ND,0.005
A536,DUP,1.5,
A537,CRM,<0.02,0.01
A538,BLK,ND,0.005
A539,DUP,1.5,
A540,CRM,<0.02,0.01
A541,BLK,ND,0.005
A542,DUP,1.5,
A543,CRM,<0.02,0.01
A544,BLK,ND,0.005
A545,DUP,1.5,
A546,CRM,<0.02,0.01
A547,BLK,ND,0.005
A548,DUP,1.5,
A549,CRM,<0.02,0.01
A550,BLK,ND,0.005
A551,DUP,1.5,
A552,CRM,<0.02,0.01
A553,BLK,ND,0.005
A554,DUP,1.5,
A555,CRM,<0.02,0.01
A556,BLK,ND,0.005
A557,DUP,1.5,
A558,CRM,<0.02,0.01
A559,BLK,ND,0.005
A560,DUP,1.5,
A561,CRM,<0.02,0.01
A562,BLK,ND,0.005
A563,DUP,1.5,
A564,CRM,<0.02,0.01
A565,BLK,ND,0.005
A566,DUP,1.5,
A567,CRM,<0.02,0.01
A568,BLK,ND,0.005
A569,DUP,1.5,
A570,CRM,<0.02,0.01
A571,BLK,ND,0.005
A572,DUP,1.5,
A573,CRM,<0.02,0.01
A574,BLK,ND,0.005
A575,DUP,1.5,
A576,CRM,<0.02,0.01
A577,BLK,ND,0.005
A578,DUP,1.5,
A579,CRM,<0.02,0.01
A580,BLK,ND,0.005
A581,DUP,1.5,
A582,CRM,<0.02,0.01
A583,BLK,ND,0.005
A584,DUP,1.5,
A585,CRM,<0.02,0.01
A586,BLK,ND,0.005
A587,DUP,1.5,
A588,CRM,<0.02,0.01
A589,BLK,ND,0.005
A590,DUP,1.5,
A591,CRM,<0.02,0.01
A592,BLK,ND,0.005
A593,DUP,1.5,
A594,CRM,<0.02,0.01
A595,BLK,ND,0.005
A596,DUP,1.5,
A597,CRM,<0.02,0.01
A598,BLK,ND,0.005
A599,DUP,1.5,
A600,CRM,<0.02,0.01
A601,BLK,ND,0.005
A602,DUP,1.5,
A603,CRM,<0.02,0.01
A604,BLK,ND,0.005
A605,DUP,1.5,
A606,CRM,<0.02,0.01
A607,BLK,ND,0.005
A608,DUP,1.5,
A609,CRM,<0.02,0.01
A610,BLK,ND,0.005
A611,DUP,1.5,
A612,CRM,<0.02,0.01
A613,BLK,ND,0.005
A614,DUP,1.5,
A615,CRM,<0.02,0.01
A616,BLK,ND,0.005
A617,DUP,1.5,
A618,CRM,<0.02,0.01
A619,BLK,ND,0.005
A620,DUP,1.5,
A621,CRM,<0.02,0.01
A622,BLK,ND,0.005
A623,DUP,1.5,
A624,CRM,<0.02,0.01
A625,BLK,ND,0.005
A626,DUP,1.5,
A627,CRM,<0.02,0.01
A628,BLK,ND,0.005
A629,DUP,1.5,
A630,CRM,<0.02,0.01
A631,BLK,ND,0.005
A632,DUP,1.5,
A633,CRM,<0.02,0.01
A634,BLK,ND,0.005
A635,DUP,1.5,
A636,CRM,<0.02,0.01
A637,BLK,ND,0.005
A638,DUP,1.5,
A639,CRM,<0.02,0.01
A640,BLK,ND,0.005
A641,DUP,1.5,
A642,CRM,<0.02,0.01
A643,BLK,ND,0.005
A644,DUP,1.5,
A645,CRM,<0.02,0.01
A646,BLK,ND,0.005
A647,DUP,1.5,
A648,CRM,<0.02,0.01
A649,BLK,ND,0.005
A650,DUP,1.5,
A651,CRM,<0.02,0.01
A652,BLK,ND,0.005
A653,DUP,1.5,
A654,CRM,<0.02,0.01
A655,BLK,ND,0.005
A656,DUP,1.5,
A657,CRM,<0.02,0.01
A658,BLK,ND,0.005
A659,DUP,1.5,
A660,CRM,<0.02,0.01
A661,BLK,ND,0.005
A662,DUP,1.5,
A663,CRM,<0.02,0.01
A664,BLK,ND,0.005
A665,DUP,1.5,
A666,CRM,<0.02,0.01
A667,BLK,ND,0.005
A668,DUP,1.5,
A669,CRM,<0.02,0.01
A670,BLK,ND,0.005
A671,DUP,1.5,
A672,CRM,<0.02,0.01
A673,BLK,ND,0.005
A674,DUP,1.5,
A675,CRM,<0.02,0.01
A676,BLK,ND,0.005
A677,DUP,1.5,
A678,CRM,<0.02,0.01
A679,BLK,ND,0.005
A680,DUP,1.5,
A681,CRM,<0.02,0.01
A682,BLK,ND,0.005
A683,DUP,1.5,
A684,CRM,<0.02,0.01
A685,BLK,ND,0.005
A686,DUP,1.5,
A687,CRM,<0.02,0.01
A688,BLK,ND,0.005
A689,DUP,1.5,
A690,CRM,<0.02,0.01
A691,BLK,ND,0.005
A692,DUP,1.5,
A693,CRM,<0.02,0.01
A694,BLK,ND,0.005
A695,DUP,1.5,
A696,CRM,<0.02,0.01
A697,BLK,ND,0.005
A698,DUP,1.5,
A699,CRM,<0.02,0.01
A700,BLK,ND,0.005
A701,DUP,1.5,
A702,CRM,<0.02,0.01
A703,BLK,ND,0.005
A704,DUP,1.5,
A705,CRM,<0.02,0.01
A706,BLK,ND,0.005
A707,DUP,1.5,
A708,CRM,<0.02,0.01
A709,BLK,ND,0.005
A710,DUP,1.5,
A711,CRM,<0.02,0.01
A712,BLK,ND,0.005
A713,DUP,1.5,
A714,CRM,<0.02,0.01
A715,BLK,ND,0.005
A716,DUP,1.5,
A717,CRM,<0.02,0.01
A718,BLK,ND,0.005
A719,DUP,1.5,
A720,CRM,<0.02,0.01
A721,BLK,ND,0.005
A722,DUP,1.5,
A723,CRM,<0.02,0.01
A724,BLK,ND,0.005
A725,DUP,1.5,
A726,CRM,<0.02,0.01
A727,BLK,ND,0.005
A728,DUP,1.5,
A729,CRM,<0.02,0.01
A730,BLK,ND,0.005
A731,DUP,1.5,
A732,CRM,<0.02,0.01
A733,BLK,ND,0.005
A734,DUP,1.5,
A735,CRM,<0.02,0.01
A736,BLK,ND,0.005
A737,DUP,1.5,
A738,CRM,<0.02,0.01
A739,BLK,ND,0.005
A740,DUP,1.5,
A741,CRM,<0.02,0.01
A742,BLK,ND,0.005
A743,DUP,1.5,
A744,CRM,<0.02,0.01
A745,BLK,ND,0.005
A746,DUP,1.5,
A747,CRM,<0.02,0.01
A748,BLK,ND,0.005
A749,DUP,1.5,
A750,CRM,<0.02,0.01
A751,BLK,ND,0.005
A752,DUP,1.5,
A753,CRM,<0.02,0.01
A754,BLK,ND,0.005
A755,DUP,1.5,
A756,CRM,<0.02,0.01
A757,BLK,ND,0.005
A758,DUP,1.5,
A759,CRM,<0.02,0.01
A760,BLK,ND,0.005
A761,DUP,1.5,
A762,CRM,<0.02,0.01
A763,BLK,ND,0.005
A764,DUP,1.5,
A765,CRM,<0.02,0.01
A766,BLK,ND,0.005
A767,DUP,1.5,
A768,CRM,<0.02,0.01
A769,BLK,ND,0.005
A770,DUP,1.5,
A771,CRM,<0.02,0.01
A772,BLK,ND,0.005
A773,DUP,1.5,
A774,CRM,<0.02,0.01
A775,BLK,ND,0.005
A776,DUP,1.5,
A777,CRM,<0.02,0.01
A778,BLK,ND,0.005
A779,DUP,1.5,
A780,CRM,<0.02,0.01
A781,BLK,ND,0.005
A782,DUP,1.5,
A783,CRM,<0.02,0.01
A784,BLK,ND,0.005
A785,DUP,1.5,
A786,CRM,<0.02,0.01
A787,BLK,ND,0.005
A788,DUP,1.5,
A789,CRM,<0.02,0.01
A790,BLK,ND,0.005
A791,DUP,1.5,
A792,CRM,<0.02,0.01
A793,BLK,ND,0.005
A794,DUP,1.5,
A795,CRM,<0.02,0.01
A796,BLK,ND,0.005
A797,DUP,1.5,
A798,CRM,<0.02,0.01
A799,BLK,ND,0.005
A800,DUP,1.5,
A801,CRM,<0.02,0.01
A802,BLK,ND,0.005
A803,DUP,1.5,
A804,CRM,<0.02,0.01
A805,BLK,ND,0.005
A806,DUP,1.5,
A807,CRM,<0.02,0.01
A808,BLK,ND,0.005
A809,DUP,1.5,
A810,CRM,<0.02,0.01
A811,BLK,ND,0.005
A812,DUP,1.5,
A813,CRM,<0.02,0.01
A814,BLK,ND,0.005
A815,DUP,1.5,
A816,CRM,<0.02,0.01
A817,BLK,ND,0.005
A818,DUP,1.5,
A819,CRM,<0.02,0.01
A820,BLK,ND,0.005
A821,DUP,1.5,
A822,CRM,<0.02,0.01
A823,BLK,ND,0.005
A824,DUP,1.5,
A825,CRM,<0.02,0.01
A826,BLK,ND,0.005
A827,DUP,1.5,
A828,CRM,<0.02,0.01
A829,BLK,ND,0.005
A830,DUP,1.5,
A831,CRM,<0.02,0.01
A832,BLK,ND,0.005
A833,DUP,1.5,
A834,CRM,<0.02,0.01
A835,BLK,ND,0.005
A836,DUP,1.5,
A837,CRM,<0.02,0.01
A838,BLK,ND,0.005
A839,DUP,1.5,
A840,CRM,<0.02,0.01
A841,BLK,ND,0.005
A842,DUP,1.5,
A843,CRM,<0.02,0.01
A844,BLK,ND,0.005
A845,DUP,1.5,
A846,CRM,<0.02,0.01
A847,BLK,ND,0.005
A848,DUP,1.5,
A849,CRM,<0.02,0.01
A850,BLK,ND,0.005
A851,DUP,1.5,
A852,CRM,<0.02,0.01
A853,BLK,ND,0.005
A854,DUP,1.5,
A855,CRM,<0.02,0.01
A856,BLK,ND,0.005
A857,DUP,1.5,
A858,CRM,<0.02,0.01
A859,BLK,ND,0.005
A860,DUP,1.5,
A861,CRM,<0.02,0.01
A862,BLK,ND,0.005
A863,DUP,1.5,
A864,CRM,<0.02,0.01
A865,BLK,ND,0.005
A866,DUP,1.5,
A867,CRM,<0.02,0.01
A868,BLK,ND,0.005
A869,DUP,1.5,
A870,CRM,<0.02,0.01
A871,BLK,ND,0.005
A872,DUP,1.5,
A873,CRM,<0.02,0.01
A874,BLK,ND,0.005
A875,DUP,1.5,
A876,CRM,<0.02,0.01
A877,BLK,ND,0.005
A878,DUP,1.5,
A879,CRM,<0.02,0.01
A880,BLK,ND,0.005
A881,DUP,1.5,
A882,CRM,<0.02,0.01
A883,BLK,ND,0.005
A884,DUP,1.5,
A885,CRM,<0.02,0.01
A886,BLK,ND,0.005
A887,DUP,1.5,
A888,CRM,<0.02,0.01
A889,BLK,ND,0.005
A890,DUP,1.5,
A891,CRM,<0.02,0.01
A892,BLK,ND,0.005
A893,DUP,1.5,
A894,CRM,<0.02,0.01
A895,BLK,ND,0.005
A896,DUP,1.5,
A897,CRM,<0.02,0.01
A898,BLK,ND,0.005
A899,DUP,1.5,
A900,CRM,<0.02,0.01
A901,BLK,ND,0.005
A902,DUP,1.5,
A903,CRM,<0.02,0.01
A904,BLK,ND,0.005
A905,DUP,1.5,
A906,CRM,<0.02,0.01
A907,BLK,ND,0.005
A908,DUP,1.5,
A909,CRM,<0.02,0.01
A910,BLK,ND,0.005
A911,DUP,1.5,
A912,CRM,<0.02,0.01
A913,BLK,ND,0.005
A914,DUP,1.5,
A915,CRM,<0.02,0.01
A916,BLK,ND,0.005
A917,DUP,1.5,
A918,CRM,<0.02,0.01
A919,BLK,ND,0.005
A920,DUP,1.5,
A921,CRM,<0.02,0.01
A922,BLK,ND,0.005
A923,DUP,1.5,
A924,CRM,<0.02,0.01
A925,BLK,ND,0.005
A926,DUP,1.5,
A927,CRM,<0.02,0.01
A928,BLK,ND,0.005
A929,DUP,1.5,
A930,CRM,<0.02,0.01
A931,BLK,ND,0.005
A932,DUP,1.5,
A933,CRM,<0.02,0.01
A934,BLK,ND,0.005
A935,DUP,1.5,
A936,CRM,<0.02,0.01
A937,BLK,ND,0.005
A938,DUP,1.5,
A939,CRM,<0.02,0.01
A940,BLK,ND,0.005
A941,DUP,1.5,
A942,CRM,<0.02,0.01
A943,BLK,ND,0.005
A944,DUP,1.5,
A945,CRM,<0.02,0.01
A946,BLK,ND,0.005
A947,DUP,1.5,
A948,CRM,<0.02,0.01
A949,BLK,ND,0.005
A950,DUP,1.5,
A951,CRM,<0.02,0.01
A952,BLK,ND,0.005
A953,DUP,1.5,
A954,CRM,<0.02,0.01
A955,BLK,ND,0.005
A956,DUP,1.5,
A957,CRM,<0.02,0.01
A958,BLK,ND,0.005
A959,DUP,1.5,
A960,CRM,<0.02,0.01
A961,BLK,ND,0.005
A962,DUP,1.5,
A963,CRM,<0.02,0.01
A964,BLK,ND,0.005
A965,DUP,1.5,
A966,CRM,<0.02,0.01
A967,BLK,ND,0.005
A968,DUP,1.5,
A969,CRM,<0.02,0.01
A970,BLK,ND,0.005
A971,DUP,1.5,
A972,CRM,<0.02,0.01
A973,BLK,ND,0.005
A974,DUP,1.5,
A975,CRM,<0.02,0.01
A976,BLK,ND,0.005
A977,DUP,1.5,
A978,CRM,<0.02,0.01
A979,BLK,ND,0.005
A980,DUP,1.5,
A981,CRM,<0.02,0.01
A982,BLK,ND,0.005
A983,DUP,1.5,
A984,CRM,<0.02,0.01
A985,BLK,ND,0.005
A986,DUP,1.5,
A987,CRM,<0.02,0.01
A988,BLK,ND,0.005
A989,DUP,1.5,
A990,CRM,<0.02,0.01
A991,BLK,ND,0.005
A992,DUP,1.5,
A993,CRM,<0.02,0.01
A994,BLK,ND,0.005
A995,DUP,1.5,
A996,CRM,<0.02,0.01
